# Dreambuilder, mtg, random mods

3d_armor_stand:armor_stand 160 146 126
3d_armor_stand:locked_armor_stand 163 152 134
3d_armor_stand:top 0 0 0
advtrains:across_off 54 53 53
advtrains:across_on 54 53 53
advtrains:dtrack_atc_st 83 39 0
advtrains:dtrack_atc_st_30 83 39 0
advtrains:dtrack_atc_st_45 83 39 0
advtrains:dtrack_atc_st_60 83 39 0
advtrains:dtrack_bumper_st 53 10 0
advtrains:dtrack_bumper_st_30 53 10 0
advtrains:dtrack_bumper_st_45 53 10 0
advtrains:dtrack_bumper_st_60 53 10 0
advtrains:dtrack_cr 83 39 0
advtrains:dtrack_cr_30 83 39 0
advtrains:dtrack_cr_45 83 39 0
advtrains:dtrack_cr_60 83 39 0
advtrains:dtrack_detector_off_st 83 39 0
advtrains:dtrack_detector_off_st_30 83 39 0
advtrains:dtrack_detector_off_st_45 83 39 0
advtrains:dtrack_detector_off_st_60 83 39 0
advtrains:dtrack_detector_on_st 83 39 0
advtrains:dtrack_detector_on_st_30 83 39 0
advtrains:dtrack_detector_on_st_45 83 39 0
advtrains:dtrack_detector_on_st_60 83 39 0
advtrains:dtrack_load_st 83 39 0
advtrains:dtrack_load_st_30 83 39 0
advtrains:dtrack_load_st_45 83 39 0
advtrains:dtrack_load_st_60 83 39 0
advtrains:dtrack_s3_l 83 39 0
advtrains:dtrack_s3_l_30 83 39 0
advtrains:dtrack_s3_l_45 83 39 0
advtrains:dtrack_s3_l_60 83 39 0
advtrains:dtrack_s3_r 83 39 0
advtrains:dtrack_s3_r_30 83 39 0
advtrains:dtrack_s3_r_45 83 39 0
advtrains:dtrack_s3_r_60 83 39 0
advtrains:dtrack_s3_s 83 39 0
advtrains:dtrack_s3_s_30 83 39 0
advtrains:dtrack_s3_s_45 83 39 0
advtrains:dtrack_s3_s_60 83 39 0
advtrains:dtrack_st 83 39 0
advtrains:dtrack_st_30 83 39 0
advtrains:dtrack_st_45 83 39 0
advtrains:dtrack_st_60 83 39 0
advtrains:dtrack_swlcr 83 39 0
advtrains:dtrack_swlcr_30 83 39 0
advtrains:dtrack_swlcr_45 83 39 0
advtrains:dtrack_swlcr_60 83 39 0
advtrains:dtrack_swlst 83 39 0
advtrains:dtrack_swlst_30 83 39 0
advtrains:dtrack_swlst_45 83 39 0
advtrains:dtrack_swlst_60 83 39 0
advtrains:dtrack_swrcr 83 39 0
advtrains:dtrack_swrcr_30 83 39 0
advtrains:dtrack_swrcr_45 83 39 0
advtrains:dtrack_swrcr_60 83 39 0
advtrains:dtrack_swrst 83 39 0
advtrains:dtrack_swrst_30 83 39 0
advtrains:dtrack_swrst_45 83 39 0
advtrains:dtrack_swrst_60 83 39 0
advtrains:dtrack_sy_l 83 39 0
advtrains:dtrack_sy_l_30 83 39 0
advtrains:dtrack_sy_l_45 83 39 0
advtrains:dtrack_sy_l_60 83 39 0
advtrains:dtrack_sy_r 83 39 0
advtrains:dtrack_sy_r_30 83 39 0
advtrains:dtrack_sy_r_45 83 39 0
advtrains:dtrack_sy_r_60 83 39 0
advtrains:dtrack_unload_st 83 39 0
advtrains:dtrack_unload_st_30 83 39 0
advtrains:dtrack_unload_st_45 83 39 0
advtrains:dtrack_unload_st_60 83 39 0
advtrains:dtrack_vst1 83 39 0
advtrains:dtrack_vst1_45 83 39 0
advtrains:dtrack_vst2 83 39 0
advtrains:dtrack_vst2_45 83 39 0
advtrains:dtrack_vst31 83 39 0
advtrains:dtrack_vst32 83 39 0
advtrains:dtrack_vst33 83 39 0
advtrains:dtrack_xing90plusx_30l 83 39 0
advtrains:dtrack_xing90plusx_30r 83 39 0
advtrains:dtrack_xing90plusx_45l 83 39 0
advtrains:dtrack_xing90plusx_45r 83 39 0
advtrains:dtrack_xing90plusx_60l 83 39 0
advtrains:dtrack_xing90plusx_60r 83 39 0
advtrains:dtrack_xingdiag_30l45r 83 39 0
advtrains:dtrack_xingdiag_30r45l 83 39 0
advtrains:dtrack_xingdiag_60l30l 83 39 0
advtrains:dtrack_xingdiag_60l45r 83 39 0
advtrains:dtrack_xingdiag_60l60r 83 39 0
advtrains:dtrack_xingdiag_60r30r 83 39 0
advtrains:dtrack_xingdiag_60r45l 83 39 0
advtrains:dtrack_xing_st 83 39 0
advtrains:dtrack_xing_st_30 83 39 0
advtrains:dtrack_xing_st_45 83 39 0
advtrains:dtrack_xing_st_60 83 39 0
advtrains_interlocking:ds_danger 84 84 84
advtrains_interlocking:ds_free 84 84 84
advtrains_interlocking:ds_slow 84 84 83
advtrains_interlocking:dtrack_npr_st 84 40 0
advtrains_interlocking:dtrack_npr_st_30 84 40 0
advtrains_interlocking:dtrack_npr_st_45 84 40 0
advtrains_interlocking:dtrack_npr_st_60 84 40 0
advtrains_interlocking:tcb_node 167 165 152
advtrains_line_automation:dtrack_stop_st 84 40 0
advtrains_line_automation:dtrack_stop_st_30 84 40 0
advtrains_line_automation:dtrack_stop_st_45 84 40 0
advtrains_line_automation:dtrack_stop_st_60 84 40 0
advtrains_luaautomation:dtrack_st 83 39 0
advtrains_luaautomation:dtrack_st_30 83 39 0
advtrains_luaautomation:dtrack_st_45 83 39 0
advtrains_luaautomation:dtrack_st_60 83 39 0
advtrains_luaautomation:oppanel 116 120 116
advtrains:platform_45_low_sandstonebrick 174 170 123
advtrains:platform_45_low_stonebrick 84 82 81
advtrains:platform_45_sandstonebrick 174 170 123
advtrains:platform_45_stonebrick 84 82 81
